# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=17
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=7345
# chain_id=1
# iter=200
# warmup=100
# save_warmup=1
# thin=1
# refresh=20
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=./stan_example.samples_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,shape1.1,shape1.2,shape1.3,shape2.1,shape2.2,shape2.3,stretch.1,stretch.2,stretch.3,min_max.1.1,min_max.2.1,min_max.3.1,min_max.1.2,min_max.2.2,min_max.3.2,nu.1,nu.2,nu.3,mu_shape1,mu_shape2,mu_stretch,mu_min,mu_max,mu_nu,x_min.1,x_min.2,x_min.3,x_max.1,x_max.2,x_max.3
-1340.64,1,0.015625,2,3,0,9192.77,8.32867,2.58195,6.88211,2.28665,4.52695,2.36245,0.730499,6.06632,0.980602,0.887891,-0.704824,0.390926,2.79539,0.727922,0.773761,1.16634,0.155766,1.63346,-1.81071,-0.856685,-0.258519,-1.70785,1.02531,1.40168,0.887891,-0.704824,0.390926,2.79539,0.727922,0.773761
-1340.64,0,10.9517,0,1,1,1353.92,8.32867,2.58195,6.88211,2.28665,4.52695,2.36245,0.730499,6.06632,0.980602,0.887891,-0.704824,0.390926,2.79539,0.727922,0.773761,1.16634,0.155766,1.63346,-1.81071,-0.856685,-0.258519,-1.70785,1.02531,1.40168,0.887891,-0.704824,0.390926,2.79539,0.727922,0.773761
-1340.64,0,1.19873,0,1,1,1352.42,8.32867,2.58195,6.88211,2.28665,4.52695,2.36245,0.730499,6.06632,0.980602,0.887891,-0.704824,0.390926,2.79539,0.727922,0.773761,1.16634,0.155766,1.63346,-1.81071,-0.856685,-0.258519,-1.70785,1.02531,1.40168,0.887891,-0.704824,0.390926,2.79539,0.727922,0.773761
-1340.64,2.3668e-29,0.0722879,3,14,1,1355.7,8.32867,2.58195,6.88211,2.28665,4.52695,2.36245,0.730499,6.06632,0.980602,0.887891,-0.704824,0.390926,2.79539,0.727922,0.773761,1.16634,0.155766,1.63346,-1.81071,-0.856685,-0.258519,-1.70785,1.02531,1.40168,0.887891,-0.704824,0.390926,2.79539,0.727922,0.773761
-1274.44,1,0.00335463,3,7,0,1356.48,8.27219,2.58742,6.93962,2.28637,4.59561,2.36426,0.725462,6.08103,0.985901,0.867042,-0.709941,0.390755,2.74598,0.73526,0.771366,1.12709,0.15844,1.55661,-1.81952,-0.870303,-0.246502,-1.72951,1.02141,1.42444,0.867042,-0.709941,0.390755,2.74598,0.73526,0.771366
-1045.52,1,0.00274951,5,31,0,1294.61,8.32071,2.58499,6.77035,2.27621,4.61043,2.34711,0.712597,5.79942,0.950703,0.83913,-0.704046,0.386494,2.65741,0.70776,0.740562,0.921994,0.156288,1.31401,-1.81938,-0.915571,-0.256943,-1.7181,1.0237,1.47139,0.83913,-0.704046,0.386494,2.65741,0.70776,0.740562
-994.275,1,0.00256848,4,15,0,1054.07,8.12925,2.58219,6.7664,2.27253,4.58839,2.35331,0.70268,5.74355,0.941526,0.822291,-0.725079,0.383686,2.67853,0.654269,0.737148,0.88752,0.156876,1.23533,-1.81941,-0.923175,-0.249733,-1.74756,1.01405,1.47372,0.822291,-0.725079,0.383686,2.67853,0.654269,0.737148
-848.403,1,0.00261646,5,31,0,1003.21,7.95879,2.61239,6.56412,2.27825,4.64523,2.36299,0.720802,5.5376,0.912077,0.788855,-0.743305,0.322095,2.6281,0.5917,0.686361,0.74547,0.168159,1.02887,-1.79687,-0.910137,-0.248689,-1.76241,1.0198,1.56872,0.788855,-0.743305,0.322095,2.6281,0.5917,0.686361
-719.847,0.999989,0.00282732,5,31,0,857.94,6.88695,2.60603,6.36584,2.29171,4.75312,2.35125,0.672487,5.49983,0.945368,0.781933,-0.71185,0.214993,2.61502,0.53873,0.571294,0.578012,0.181371,0.744829,-1.83039,-0.85839,-0.227321,-1.73587,1.08087,1.68994,0.781933,-0.71185,0.214993,2.61502,0.53873,0.571294
-638.46,0.824079,0.00318252,6,63,0,734.832,5.19889,2.57344,5.97061,2.29288,4.46428,2.3429,0.679343,4.60778,0.989558,0.747212,-0.736686,0.387348,2.54887,0.545473,0.780799,0.423397,0.210903,0.627016,-1.77975,-0.819307,-0.302782,-1.5824,1.11716,1.84932,0.747212,-0.736686,0.387348,2.54887,0.545473,0.780799
